year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,lower_solar,upper_solar,moz_hydro,zim_hydro,zam_hydro,biomass,wind,solar,hydro,BTSW_load,MAL_load,MOZ_load,NAM_load,ZAM_load,ZIM_load,zam_oil,nam_oil,mal_gas,zam_coal,zim_coal,nam_coal,btsw_coal,zam_biomass,mal_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,chi_hydro,cor_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar
2,3,2,1,45496824.244446054,0.0,0.0,29883.26893089,23506.159634342075,-8.37108160567368e-14,82.56274116145094,1800.0000000000005,0.0,0.0,1738.0684113882853,60.746820736380194,1378.6990744150082,0.0,0,0.0,6917.514306539673,248.5577708,195.6651182,1807.563969,123.3375453,1436.991685,841.5455956,0.0,-8.37108160567368e-14,0.0,0.0,920.0,120.0,609.320232948583,0.0,0.0,162.16216216216216,244.00445015621253,768.0,129.0,31.0,118.0,75.53246209663347,60.746820736380194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1589.0684113882853,0.0,0.0,0.0
2,3,2,2,45496824.244446054,0.0,0.0,29525.48940492,23073.54915334605,-1.965927420854996e-13,109.24274116145095,1800.0,0.0,0.0,1682.1483085807956,78.97086695729426,1435.5369352732923,0.0,0,0.0,6936.656110811383,258.8287537,192.238471,1774.835038,121.1775576,1496.371509,876.3202089,0.0,1.3988810110276972e-14,0.0,0.0,920.0,120.0,601.1520656294858,0.0,0.0,162.16216216216216,278.18257238550666,768.0,129.0,31.0,118.0,98.19220072562352,78.97086695729426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.1483085807956,0.0,0.0,0.0
2,3,2,3,45496824.244446054,0.0,0.0,29181.617403930002,22811.570166902453,-1.900701818158268e-13,135.92274116145094,1800.0,0.0,0.0,1547.126837023061,102.36733507092194,1410.7074105772133,0.0,0,0.0,6800.201582671196,248.5577708,189.5040762,1758.420695,119.4539313,1436.991685,841.5455956,0.0,1.509903313490213e-14,0.0,0.0,920.0,120.0,651.2235682778756,0.0,0.0,150.93326773254728,235.1242819013554,768.0,129.0,31.0,118.0,127.64986094331059,102.36733507092194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.126837023061,0.0,0.0,0.0
2,3,2,4,45496824.244446054,0.0,0.0,29165.332621580004,22733.88554487286,-2.0985713167220865e-12,174.29253708318706,1800.0,0.0,0.0,1482.0962155551995,133.07753559219853,1466.7374875235541,0.0,0,0.0,6821.911238670952,254.720371,187.0811928,1751.166277,117.9266663,1472.619639,862.4103989,0.0,-4.984901380566953e-14,0.0,0.0,920.0,120.0,666.2432835370403,0.0,0.0,124.74012474012473,305.66156647176206,741.3909770853637,129.0,31.0,118.0,165.9448192263038,133.07753559219853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.0962155551995,0.0,0.0,0.0
2,3,2,5,45496824.244446054,0.0,0.0,29422.453716830005,22906.21828686865,2.8037294708127547e-13,214.06253708318707,1800.0000000000005,0.0,0.0,1453.4948768336446,173.0007962698581,1528.1276183118252,0.0,0,0.0,6887.777248296778,258.144032,191.2000924,1749.948106,120.5230154,1492.412914,874.0019368,0.0,-3.615163723935666e-14,0.0,0.0,920.0,120.0,697.5416508230016,0.0,0.0,162.16216216216216,397.36003641329074,623.8771547421776,129.0,31.0,118.0,215.72826499419492,173.0007962698581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.4948768336446,0.0,0.0,0.0
2,3,2,6,45496824.244446054,0.0,0.0,30161.948413390004,23495.91384420593,-3.5275254939293177e-12,253.83253708318708,1800.0,0.0,0.0,1483.71916221584,224.90103515081555,1609.145219603653,0.0,0,0.0,7057.765416970308,262.9371538,204.9413066,1742.738866,129.1847925,1520.123479,890.2300779,0.0,-2.3772650514786164e-14,0.0,0.0,920.0,120.0,737.198452627862,0.0,0.0,162.16216216216216,516.568047337278,520.9682656117593,129.0,31.0,118.0,280.44674449245343,224.90103515081555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1334.71916221584,0.0,0.0,0.0
2,3,2,7,45496824.244446054,0.0,0.0,32070.424950380006,25015.530872513686,2.589040093425865e-13,293.60253708318703,1800.0,0.0,0.0,1772.0740578604125,292.37134569606025,1757.1508629331033,0.0,0,0.0,7561.596266489576,285.5333195,235.8849863,1765.510508,148.690147,1650.759115,966.734239,0.0,2.993161274389422e-13,0.0,0.0,920.0,120.0,746.0,0.0,0.0,124.74012474012473,671.5384615384614,467.2915088143276,129.0,31.0,118.0,364.5807678401895,292.37134569606025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.0740578604125,0.0,0.0,0.0
2,3,2,8,45496824.244446054,0.0,0.0,34896.38142718,27345.32820653925,-1.6231460620019789e-13,333.37253708318707,1800.0,0.0,0.0,2110.432143766655,380.0827494048783,2016.6021223194907,0.0,0,0.0,8247.117015491025,332.0951032,252.7413363,1864.483187,159.3155505,1919.947625,1124.379135,0.0,-6.838973831690964e-14,0.0,0.0,920.0,120.0,713.4171784385576,0.0,0.0,162.16216216216216,873.0,378.7171914182219,129.0,31.0,118.0,473.722768739107,380.0827494048783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961.432143766655,0.0,0.0,0.0
2,3,2,9,45496824.244446054,0.0,0.0,36552.369491100006,28986.535834432078,-2.238986773761553e-12,373.14253708318705,1800.0,0.0,0.0,2221.0,435.83121927527606,1944.865534722922,14.7,0,0.0,8341.696753998198,323.8783204,270.9821805,1897.732562,170.8136702,1872.443785,1096.559456,0.0,1.0702549957386509e-13,0.0,0.0,920.0,120.0,746.0,0.0,4.2,113.5135135135135,873.0,284.8978458793544,129.0,31.0,118.0,544.4541753300539,435.83121927527606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
2,3,2,10,45496824.244446054,0.0,0.0,36911.50449791,29470.21862134367,3.551048344263563e-12,412.9125370831871,1800.0,0.0,0.0,2221.0,384.4255855282935,1846.3724429745275,29.4,0,0.0,8191.798028502821,306.7600157,275.7933324,1901.222368,173.8463807,1773.477409,1038.601767,0.0,1.4233059175694507e-13,0.0,0.0,920.0,120.0,746.0000000000001,0.0,8.4,79.45945945945945,787.3203433901333,370.36719964316075,129.0,31.0,118.0,480.2254404817741,384.4255855282935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0
