year,month,dom,hour,obj,infinite_solar_penalty,infinite_solar,load,coal,oil,gas,nuclear,lower_solar,upper_solar,moz_hydro,zim_hydro,zam_hydro,biomass,zrb_load,zrb_oil,zrb_gas,zrb_coal,zrb_biomass,itt_hydro,kgu_hydro,kgl_hydro,vic_hydro,ka_n_hydro,ka_s_hydro,ka_solar,bg_n_hydro,bg_s_hydro,bg_solar,dg_n_hydro,dg_s_hydro,dg_solar,cb_hydro,cb_solar,mn_hydro,mn_solar,BTSW_load,MAL_load,MOZ_load,NAM_load,MIM_load,ZAM_load,zam_oil,nam_oil,mal_gas,zam_coal,zim_coal,nam_coal,btsw_coal,zam_biomass,mal_biomass
10,10,1,7,50239773.89890341,0.0,0.0,36355.35285686,33485.08416957838,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.8993829,187.8822604,1788.569654,118.4316194,1855.221597,1086.473625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,8,50239773.89890341,0.0,0.0,36099.31767383,32440.289377113517,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,768.0,0.0,,,,,,0.0,0.0,768.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.5960245,205.1926326,1888.143506,129.3432159,1917.062291,1122.689397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,9,50239773.89890341,0.0,0.0,36978.363444350005,34158.609129027034,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.2476924,225.6824564,1921.427171,142.2589803,1886.141878,1104.581473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,10,50239773.89890341,0.0,0.0,36777.38710645,33941.33741237838,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0941149,233.4544561,1919.653947,147.1580618,1798.534219,1053.275789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,11,50239773.89890341,0.0,0.0,36864.46062740999,34035.47094855135,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.5285753,238.0470042,1945.378542,150.0529754,1777.920697,1041.203891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,12,50239773.89890341,0.0,0.0,37132.091647299996,34324.80178086487,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.5735263,241.9329995,1928.265687,152.5025133,1870.681672,1095.52751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,13,50239773.89890341,0.0,0.0,37121.18934799,32241.015511340498,0.0,0.0,1800.0,0.0,0.0,2072.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.0,0.0,0.0,0.0,334.2701905,239.4600917,1910.709559,150.9437154,1932.522497,1131.743359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,14,50239773.89890341,0.0,0.0,36665.091059850005,33819.936280918926,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.2252169,225.6824564,1910.709559,142.2589803,1839.761391,1077.419663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,15,50239773.89890341,0.0,0.0,36448.08038462,33585.33014553513,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0716394,213.3179087,1924.774496,134.4649852,1752.153731,1026.113979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,1,16,50239773.89890341,0.0,0.0,36817.192797589996,33984.37059198919,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.7233073,207.6655403,1899.903154,130.9020138,1721.233318,1008.006055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
